id,name,
218,Kovilpatti,Thoothukudi
219,Sankarankovil  ,Tirunelveli
220,Vasudevanallur  ,Tirunelveli
221,Kadayanallur,Tirunelveli
222,Tenkasi,Tirunelveli
223,Alangulam,Tirunelveli
224,Tirunelveli,Tirunelveli
225,Ambasamudram,Tirunelveli
226,Palayamkottai,Tirunelveli
227,Nanguneri,Tirunelveli
228,Radhapuram,Tirunelveli
229,Kanniyakumari,Kanyakumari
230,Nagercoil,Kanyakumari
231,Colachal,Kanyakumari
232,Padmanabhapuram,Kanyakumari
233,Vilavancode,Kanyakumari
234,Killiyoor,Kanyakumari
